title,name_genres,popularity
Toy Story,Animation Comedy Family,21.946943
Jumanji,Adventure Fantasy Family,17.015539
Grumpier Old Men,Romance Comedy,11.7129
Waiting to Exhale,Comedy Drama Romance,3.859495
Father of the Bride Part II,Comedy,8.387519
Heat,Action Crime Drama Thriller,17.924927
Sabrina,Comedy Romance,6.677277
Tom and Huck,Action Adventure Drama Family,2.561161
Sudden Death,Action Adventure Thriller,5.23158
GoldenEye,Adventure Action Thriller,14.686036
The American President,Comedy Drama Romance,6.318445
Dracula: Dead and Loving It,Comedy Horror,5.430331
Balto,Family Animation Adventure,12.140733
Nixon,History Drama,5.092
Cutthroat Island,Action Adventure,7.284477
Casino,Drama Crime,10.137389
Sense and Sensibility,Drama Romance,10.673167
Four Rooms,Crime Comedy,9.026586
Ace Ventura: When Nature Calls,Crime Comedy Adventure,8.205448
Money Train,Action Comedy Crime,7.337906
Get Shorty,Comedy Thriller Crime,12.669608
Copycat,Drama Thriller,10.701801
Assassins,Action Adventure Crime Thriller,11.065939
Powder,Drama Fantasy Science Fiction Thriller,12.133094
Leaving Las Vegas,Drama Romance,10.332025
Othello,Drama,1.845899
Now and Then,Comedy Drama Family,8.681325
Persuasion,Drama Romance,2.228434
The City of Lost Children,Fantasy Science Fiction Adventure,9.822423
Shanghai Triad,Drama Crime,1.100915
Dangerous Minds,Drama Crime,9.481338
Twelve Monkeys,Science Fiction Thriller Mystery,12.297305
Wings of Courage,Romance Adventure,0.745542
Babe,Fantasy Drama Comedy Family,14.404764
Carrington,History Drama Romance,1.493361
Dead Man Walking,Drama,6.891317
Across the Sea of Time,Adventure History Drama Family,0.114469
It Takes Two,Comedy Family Romance,7.777735
Clueless,Comedy Drama Romance,9.882383
"Cry, the Beloved Country",Drama,0.894647
Richard III,Drama War,4.561387
Dead Presidents,Action Crime Drama History,9.87957
Restoration,Drama Romance,10.979269
Mortal Kombat,Action Fantasy,10.870138
To Die For,Fantasy Drama Comedy Thriller,10.448481
How To Make An American Quilt,Drama Romance,4.485958
Se7en,Crime Mystery Thriller,18.45743
Pocahontas,Adventure Animation Drama Family,13.280069
When Night Is Falling,Drama Romance,3.302524
The Usual Suspects,Drama Crime Thriller,16.302466
Guardian Angel,Action Thriller Drama,0.595949
Mighty Aphrodite,Comedy Romance,15.899134
Lamerica,Drama Foreign,1.361286
The Big Green,Action Adventure Comedy Family,5.982764
Georgia,Drama,4.093443
Kids of the Round Table,,0.307075
Home for the Holidays,Comedy Drama Romance,8.416802
The Postman,Comedy Drama Romance,10.168437
The Confessional,Thriller Drama Mystery,0.120789
The Indian in the Cupboard,Adventure Family Fantasy,10.673296
Eye for an Eye,Drama Thriller,4.733526
Mr. Holland's Opus,Music Drama Family,7.137117
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy,11.700115
Two If by Sea,Comedy Romance,2.174487
Bio-Dome,Comedy,6.387469
Lawnmower Man 2: Beyond Cyberspace,Action Science Fiction,2.49535
Two Bits,Drama Family,4.046208
French Twist,Comedy Romance,2.518051
Friday,Comedy,14.56965
From Dusk Till Dawn,Horror Action Thriller Crime,15.339153
Fair Game,Action Thriller Romance,5.912223
Kicking and Screaming,Comedy Drama Romance,3.367276
Les Miserables,Drama History,1.479446
Bed of Roses,Drama Romance,10.412194
Big Bully,Comedy Family,2.936443
Screamers,Horror Science Fiction,12.758848
Nico Icon,Documentary,0.133893
The Crossing Guard,Drama Thriller,5.756462
The Juror,Drama Thriller,6.010579
The White Balloon,Family Drama,1.196256
Things to Do in Denver When You're Dead,Drama Crime,4.486179
Antonia's Line,Drama Comedy,2.030174
Once Upon a Time... When We Were Colored,Romance Drama,0.252287
Last Summer in the Hamptons,,0.531159
Angels and Insects,Drama Romance,2.15166
White Squall,Action Drama,9.568604
Dunston Checks In,Adventure Comedy Family,4.814825
Black Sheep,Comedy,8.963037
Nick of Time,Crime Drama Thriller,6.848591
The Journey of August King,Drama,0.411424
Mary Reilly,Drama Horror Thriller Romance,12.866139
Vampire in Brooklyn,Comedy Horror Romance,9.071127
Beautiful Girls,Comedy Drama Romance,4.670562
Broken Arrow,Action Adventure Drama Thriller,14.957626
A Midwinter's Tale,Comedy,0.513391
La Haine,Drama,12.108196
Shopping,Action Adventure Drama Science Fiction Thriller,2.657647
Heidi Fleiss: Hollywood Madam,Documentary,0.638211
City Hall,Drama Thriller,4.807223
Bottle Rocket,Comedy Crime Drama,6.904831
Mr. Wrong,Comedy Romance,3.329264
Unforgettable,Drama Mystery Science Fiction Thriller,2.464425
Happy Gilmore,Comedy,9.592265
The Bridges of Madison County,Drama Romance,5.951077
Nobody Loves Me,Drama Comedy Family,1.015068
Muppet Treasure Island,Action Comedy Music Family Adventure,6.902423
Catwalk,Documentary,0.976707
Headless Body in Topless Bar,Crime,0.001346
Braveheart,Action Drama History War,20.755149
Taxi Driver,Crime Drama,14.092713
Rumble in the Bronx,Crime Action Comedy Thriller,12.314278
Before and After,Drama Thriller,2.938293
Margaret's Museum,Drama,0.372697
Happiness Is in the Field,Comedy,1.254885
Anne Frank Remembered,Documentary Drama Foreign,0.243986
The Young Poisoner's Handbook,Comedy Crime Drama,6.178497
If Lucy Fell,Comedy Romance,2.891918
Steal Big Steal Little,Comedy Drama,1.522412
Race the Sun,Action Adventure Comedy Drama Family,1.317878
The Boys of St. Vincent,Drama,0.86539
Boomerang,Comedy Romance,6.506983
Chungking Express,Drama Comedy Romance,6.778979
The Star Maker,Drama Romance,1.702639
Flirting with Disaster,Comedy Romance,5.579088
The Neverending Story III: Escape from Fantasia,Fantasy,6.252377
The Silences of the Palace,Drama,0.406754
Jupiter's Wife,,0.001178
